主题ID,数据来源,文档数,前10关键词,关键词得分
51,replies,30,"不是歧视 是很正常的思维 作为企业你是希望你招到进来没几天就休产假, 企业可以给福利, 企业可以给福利 但不能被人骗福利啊, 企业不养闲人, 不是歧视 是很正常的思维, 是很正常的思维 作为企业你是希望你招到进来没几天就休产假, 是很正常的思维, 作为企业你是希望你招到进来没几天就休产假 还是说进来骗个产假就走人的员工 还是希望招到能为你产生经济效益的员工, 作为企业你是希望你招到进来没几天就休产假 还是说进来骗个产假就走人的员工, 作为企业你是希望你招到进来没几天就休产假","0.0901, 0.0901, 0.0901, 0.0901, 0.0901, 0.0901, 0.0901, 0.0901, 0.0901, 0.0901"
52,replies,30,"意外怀孕, 以至于很多女孩以为很容易就意外怀孕了, 而且不要过于相信男人 把避孕工作都交给男人, 而且不要过于相信男人, 真的求求那些姐妹们寻思寻思吧 完全不想要孩子的话 避孕工作还是得自己谨慎些, 而且不要过于相信男人 把避孕工作都交给男人 看看多少丁克家庭还能意外怀孕然后由于种种原因就留下了孩子, 真的求求那些姐妹们寻思寻思吧, 真的听过好多人所谓的 意外怀孕 其实是安全期, 真的听过好多人所谓的 意外怀孕, 真的听过好多人所谓的","0.1217, 0.0931, 0.0931, 0.0931, 0.0931, 0.0931, 0.0931, 0.0931, 0.0931, 0.0931"
53,replies,30,"好兄弟我家第一胎也是自然流产, 好兄弟我家第一胎也是自然流产 第二胎自然怀孕现在也会叫爸爸妈妈了, 第二胎自然怀孕现在也会叫爸爸妈妈了, 第二胎自然怀孕现在也会叫爸爸妈妈了 好兄弟我家第一胎也是自然流产 第二胎自然怀孕现在也会叫爸爸妈妈了, 第二胎自然怀孕现在也会叫爸爸妈妈了 好兄弟我家第一胎也是自然流产, 好兄弟我家第一胎也是自然流产 第二胎自然怀孕现在也会叫爸爸妈妈了 好兄弟我家第一胎也是自然流产, 一般来说剖腹产后过两年了才能要孩子, 一般来说剖腹产后过两年了才能要孩子 我一胎剖腹产生后才第十个月就有了二胎 不过幸好都很健康的度过了孕期到足月就剖出来了, 我二胎就是这么来的 我比你大一岁, 我二胎就是这么来的 我比你大一岁 去年一胎姐姐今年二胎弟弟","0.3233, 0.3233, 0.3233, 0.2938, 0.2938, 0.2938, 0.1136, 0.1136, 0.1136, 0.1136"
54,replies,30,"我也不喜欢小孩, 想生都不能生, 我妈也想要我生孩子我自己小时候那条街的孩子都是我带着捣蛋的我可不想生个小恶魔, 不一定, 就这么简单, 姐妹, 不想生就不生, , , ","0.6734, 0.6734, 0.6734, 0.5757, 0.5190, 0.4792, 0.4630, 0.0000, 0.0000, 0.0000"
55,replies,29,"不想生就不生, 所以不想生的也别觉得想生的想不开, 不想生可以不生, 想生就生, 想生就生不想生就不生, 想生就生 不想生就不生, 没人逼你, 对对, 我不想生, 很正常","0.5719, 0.5546, 0.4741, 0.3946, 0.2773, 0.2773, 0.2773, 0.2537, 0.2537, 0.2537"
56,replies,29,"这就是就业歧视啊, 这就是就业歧视啊 这就是就业歧视啊, 这就是就业歧视啊 这就是就业歧视啊 这就是就业歧视啊, , , , , , , ","0.7437, 0.7284, 0.7128, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000"
57,replies,27,"其实可以在结扎之前让相关机构把精子储存起来 现在也有这种方式, 其实可以在结扎之前让相关机构把精子储存起来, 结扎之后 如果想要生育再把输精管接上的话 短时间内生育没问题的, 短时间内生育没问题的, 结扎之后 如果想要生育再把输精管接上的话, 结扎之后, 现在也有这种方式 结扎之后, 现在也有这种方式 结扎之后 如果想要生育再把输精管接上的话, 现在也有这种方式, 时间久了还是会有点影响","0.1446, 0.1446, 0.1446, 0.1446, 0.1446, 0.1446, 0.1446, 0.1446, 0.1446, 0.1446"
58,replies,27,"后来发现自己身上有生长纹, 很羡慕那些没有生长纹, 小时候没关注过自己身体情况 后来发现自己身上有生长纹, 小时候没关注过自己身体情况, 后来发现自己身上有生长纹 特别丑 真的很难受, 后来发现自己身上有生长纹 特别丑, 小时候没关注过自己身体情况 后来发现自己身上有生长纹 特别丑, 皮肤光滑的人, 皮肤光滑的人 所以我真的不敢想象自己生育后有了妊娠纹该多么痛苦, 特别丑","0.1535, 0.1535, 0.1535, 0.1535, 0.1535, 0.1535, 0.1535, 0.1535, 0.1535, 0.1535"
59,replies,27,"不应该在节育上再受伤害, 生育, 生孩子警告, 最后一句, 歧视女性, 主要是, 身材走样, 大家都一样, 有什么问题吗, 你说","0.6470, 0.4449, 0.2357, 0.2357, 0.2357, 0.2157, 0.2157, 0.2015, 0.2015, 0.1817"
60,replies,27,"是啊, 拉倒吧, , , , , , , , ","1.7970, 1.5713, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000"
61,replies,26,"我不想生孩子, 不想生了, 怕了, 我就是, 不想生孩子, 对呀, 不想生, , , ","0.9585, 0.8955, 0.5238, 0.4792, 0.4037, 0.3870, 0.3727, 0.0000, 0.0000, 0.0000"
62,replies,25,"必须证明有实际原因才能够结束妊娠 孕12周以及孕14周以上 由于有可能已经能辨别胎儿性别, 为了防止由于性别原因而发生的终止妊娠, 为了防止由于性别原因而发生的终止妊娠 必须是医院开出的胎儿有具体疾病或者社区开出不宜生育的证明, 为了防止由于性别原因而发生的终止妊娠 必须是医院开出的胎儿有具体疾病或者社区开出不宜生育的证明 医院才能给予操作, 但是中期以及晚期则需要医院或者社区开出的证明, 但是中期以及晚期则需要医院或者社区开出的证明 必须证明有实际原因才能够结束妊娠, 但是中期以及晚期则需要医院或者社区开出的证明 必须证明有实际原因才能够结束妊娠 孕12周以及孕14周以上, 由于有可能已经能辨别胎儿性别 为了防止由于性别原因而发生的终止妊娠 必须是医院开出的胎儿有具体疾病或者社区开出不宜生育的证明, 医院才能给予操作, 孕12周以及孕14周以上","0.1617, 0.1617, 0.1617, 0.1617, 0.1617, 0.1617, 0.1617, 0.1617, 0.1617, 0.1617"
63,replies,24,"你其实也是爱我的对吧, 这么多年了我其实还是忘不了他 我们离婚吧 就算你不放手我也要, 你其实也是爱我的对吧 做人还是糊涂一点好 我以后不会这样了, 你其实也是爱我的对吧 做人还是糊涂一点好, 我还是爱你的 你其实也是爱我的对吧 做人还是糊涂一点好, 我还是爱你的 你其实也是爱我的对吧, 我以后不会这样了 我们和好吧 反正孩子叫的你爸爸, 你难道狠心拆散别人父子两 这么多年了我其实还是忘不了他, 我们和好吧 反正孩子叫的你爸爸, 我们和好吧 反正孩子叫的你爸爸 我们一家人好好的","0.0257, 0.0257, 0.0257, 0.0257, 0.0257, 0.0257, 0.0243, 0.0243, 0.0243, 0.0243"
64,replies,24,"你也没必要阴阳怪气地提出一个地狱笑话, 确实对我的妈妈就越愧疚, 现在也对我妈妈很好 如果我还在我妈妈肚子里的时候 她想要流掉我就是一件不需要任何人置喙的事情, 现在也对我妈妈很好 如果我还在我妈妈肚子里的时候, 现在也对我妈妈很好, 我越了解到生育对女性的影响 确实对我的妈妈就越愧疚 现在也对我妈妈很好, 我越了解到生育对女性的影响 确实对我的妈妈就越愧疚, 我越了解到生育对女性的影响, 确实对我的妈妈就越愧疚 现在也对我妈妈很好, 很多人认为还在肚子里的东西还不算人 你的前半段假设就相当于是无效的","0.1370, 0.1370, 0.1370, 0.1370, 0.1370, 0.1370, 0.1370, 0.1370, 0.1370, 0.1370"
65,replies,24,"懂了, 没有谁对谁错, 或者离婚了, 后来离婚了, 结婚, 一样, , , , ","0.7857, 0.7857, 0.7857, 0.7188, 0.6716, 0.6352, 0.0000, 0.0000, 0.0000, 0.0000"
66,replies,24,"腰疼肚子疼 来月经量特别多 人搞得特别虚, 来月经量特别多, 然后一年多一直跑医院吃药喝中药, 然后一年多一直跑医院吃药喝中药 腰疼肚子疼, 然后一年多一直跑医院吃药喝中药 腰疼肚子疼 来月经量特别多, 然后我回老家直接取了就好了, 腰疼肚子疼 来月经量特别多, 我孩子11岁了 在我们那生完上不上环随自己愿 但是我嫁到安徽这边当时就是必须上环, 我孩子11岁了 在我们那生完上不上环随自己愿, 我孩子11岁了","0.0770, 0.0770, 0.0770, 0.0770, 0.0770, 0.0770, 0.0770, 0.0770, 0.0770, 0.0770"
67,replies,23,"有切除子宫的 虽然不一定有直接关系 毕竟不可考, 没有创伤性的保护措施肯定优于有创的, 毕竟不可考 都十几二十年甚至三十年前的事情的 但都和计划生育有关, 毕竟不可考 都十几二十年甚至三十年前的事情的, 毕竟不可考, 有盆腔炎的 有巧囊的 有切除子宫的, 有盆腔炎的 有巧囊的, 有盆腔炎的, 有巧囊的 有切除子宫的 虽然不一定有直接关系, 有巧囊的 有切除子宫的","0.1521, 0.1521, 0.1521, 0.1521, 0.1521, 0.1521, 0.1521, 0.1521, 0.1521, 0.1521"
68,replies,23,"也还是要面对另一半造成的问题啊, 那婚后如果另一半他非要出轨, 那他都干了这个事了 有的夫妻就是接受继续过 另一半不接受就离婚啊, 那他都干了这个事了 有的夫妻就是接受继续过, 那他都干了这个事了, 有的夫妻就是接受继续过 另一半不接受就离婚啊 你埋怨, 有的夫妻就是接受继续过 另一半不接受就离婚啊, 有的夫妻就是接受继续过, 我说得不对吗 那婚后如果另一半他非要出轨 他偷偷出轨, 我说得不对吗 那婚后如果另一半他非要出轨","0.1020, 0.1020, 0.1020, 0.1020, 0.1020, 0.1020, 0.1020, 0.1020, 0.1020, 0.1020"
69,replies,22,"我一个朋友, 恶心, 然后, 对对对, 真的, 是的, , , , ","0.7857, 0.7188, 0.7188, 0.6716, 0.4227, 0.2531, 0.0000, 0.0000, 0.0000, 0.0000"
70,replies,22,"父亲, 长痛不如短痛, 我妈也是, 母亲, 总之, 怎么, 是的, , , ","0.6161, 0.6161, 0.5757, 0.5444, 0.4355, 0.4029, 0.2169, 0.0000, 0.0000, 0.0000"
71,replies,22,"换血, 是吧, 事实上, 首先, , , , , , ","1.8856, 0.7266, 0.6967, 0.4135, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000"
72,replies,22,"一说起来男性结扎就是无害, 附睾淤积等风险不能算极低, 选择最适合的避孕方法 而如果婚后确定要结扎 男性要比女性更适合一点, 选择最适合的避孕方法 而如果婚后确定要结扎, 选择最适合的避孕方法, 这个是应该视频科普下 虽然公众号上讲过 现在很多人被蛊惑, 这个是应该视频科普下 虽然公众号上讲过, 这个是应该视频科普下, 虽然公众号上讲过 现在很多人被蛊惑 一说起来男性结扎就是无害, 虽然公众号上讲过 现在很多人被蛊惑","0.0570, 0.0570, 0.0570, 0.0570, 0.0570, 0.0570, 0.0570, 0.0570, 0.0570, 0.0570"
73,replies,22,"当年计划生育, 我同事, 是二胎, 我妈也是, 想生就生, , , , , ","0.9428, 0.9428, 0.8626, 0.8060, 0.6709, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000"
74,replies,21,"什么, 性别歧视, , , , , , , , ","2.8754, 1.0163, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000"
75,replies,20,"我是二胎, 请问, 不是二胎, emmm, 我也是, 哈哈, , , , ","0.7188, 0.7188, 0.6716, 0.5806, 0.4398, 0.4074, 0.0000, 0.0000, 0.0000, 0.0000"
76,replies,20,"让她生, 抗议者, 说句不好听的, 仅此而已, 等等, 再说了, 这么说吧, , , ","1.2939, 0.9428, 0.4030, 0.3811, 0.3483, 0.3354, 0.3049, 0.0000, 0.0000, 0.0000"
77,replies,20,"很多情况下, 一旦怀孕, 身体, 家暴, 咋说呢, 离婚, 另外, , , ","0.6734, 0.6161, 0.6161, 0.5757, 0.4485, 0.4029, 0.2878, 0.0000, 0.0000, 0.0000"
78,replies,20,"这女的可能就是不想他如愿以偿 她可能想不开 要两个人都不好过, 这女的可能就是不想他如愿以偿 她可能想不开, 一离婚 男的不就跟小三在一起了吗, 一离婚, 一离婚 男的不就跟小三在一起了吗 这女的可能就是不想他如愿以偿, 这女的可能就是不想他如愿以偿, 男的不就跟小三在一起了吗 这女的可能就是不想他如愿以偿 她可能想不开, 她可能想不开, 要两个人都不好过, 她可能想不开 要两个人都不好过","0.1311, 0.1311, 0.1311, 0.1311, 0.1311, 0.1311, 0.1311, 0.1311, 0.1311, 0.1311"
79,replies,20,"男权社会, 当然, , , , , , , , ","2.3570, 0.9949, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000"
80,replies,20,"想不想生, 这个词, 抱歉, , , , , , , ","1.5713, 1.4377, 1.2111, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000"
81,replies,19,"你不想生 哪来的孩子, 哪来的孩子, 你不想生, 你不想生 哪来的孩子 你不想生, 哪来的孩子 你不想生 哪来的孩子, 哪来的孩子 你不想生, 想生孩子, , , ","0.4944, 0.4944, 0.4714, 0.4683, 0.4683, 0.4683, 0.0568, 0.0000, 0.0000, 0.0000"
82,replies,19,"最后离婚的是真的多, 都找会浪漫的, 过年过节红包来回发会主动送秋天第一杯奶茶的 然后分了 然后找老师人接盘, 过年过节红包来回发会主动送秋天第一杯奶茶的 然后分了, 过年过节红包来回发会主动送秋天第一杯奶茶的, 被坑了总不能连句话都不让说吧, 生育功能受损 最后离婚的是真的多 光我见过的就两三起, 生育功能受损 最后离婚的是真的多, 甚至记不住各种纪念日 就是想像上一辈一样找个伴好好过日子的 多的是, 甚至记不住各种纪念日 就是想像上一辈一样找个伴好好过日子的","0.0775, 0.0775, 0.0775, 0.0775, 0.0775, 0.0775, 0.0775, 0.0775, 0.0775, 0.0775"
83,replies,19,"甚至要牺牲自己的职业规划去挣快钱 包括后续的隐形职场歧视 这都会转化成丈夫的养家压力, 一餐饭她要吐几次, 怀孕那时正好她老公还派到香港, 一餐饭她要吐几次 后来 她的宝宝超级健康, 一餐饭她要吐几次 后来, 然而现实中大多数人恐育不是因为性别对立 反而是替丈夫考虑 如果女方怀孕, 没叫父母过来照顾 一个人撑着, 没叫父母过来照顾 一个人撑着 她跟我说她就是坚持吐了又逼自己继续吃, 没叫父母过来照顾, 打车司机可能 可能要考虑买车 结果就是丈夫不堪重负","0.2095, 0.2095, 0.2095, 0.2095, 0.2095, 0.2095, 0.2095, 0.2095, 0.2095, 0.2095"
84,replies,18,"男的一直说经济压力大 后面有不顺心的事迁就到她身上很大可能, 男的一直说经济压力大, 首先, 是的, , , , , , ","1.5713, 1.5713, 0.3446, 0.2531, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000"
85,replies,18,"一般来讲, , , , , , , , , ","4.7140, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000"
86,replies,18,"这个文章还有后续的 后续是结果三胎开放以后全国医院都不允许给男性做结扎, 这个文章还有后续的, 后续是结果三胎开放以后全国医院都不允许给男性做结扎, 这个文章还有后续的 后续是结果三胎开放以后全国医院都不允许给男性做结扎 这个文章还有后续的, 后续是结果三胎开放以后全国医院都不允许给男性做结扎 这个文章还有后续的 后续是结果三胎开放以后全国医院都不允许给男性做结扎, 后续是结果三胎开放以后全国医院都不允许给男性做结扎 这个文章还有后续的, 不是吧, , , ","0.4697, 0.4697, 0.4697, 0.4487, 0.4487, 0.4487, 0.0536, 0.0000, 0.0000, 0.0000"
87,replies,17,"我觉得, 呵呵, , , , , , , , ","1.4831, 1.2010, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000"
88,replies,17,"按照你的逻辑, 情绪稳定的都是女屌丝 6啊 侮辱歧视女性还是你在行, 情绪稳定的都是女屌丝 6啊, 情绪稳定的都是女屌丝, 另外, 6啊, 好好好, 说真的, 其次, 还有","0.4285, 0.4285, 0.4285, 0.4285, 0.3663, 0.3663, 0.3465, 0.3167, 0.2079, 0.1787"
89,replies,17,"房到位 双双领取离婚证 2015年9月, 高磊鑫和薛之谦现在很幸福谢谢, 高磊鑫亦履行诺言离婚 证明二人离婚的原因并不在于有没有李雨桐 那么在2012, 高磊鑫亦履行诺言离婚 证明二人离婚的原因并不在于有没有李雨桐, 高磊鑫亦履行诺言离婚, 用时间线的方式还原薛李风波始末 雪下得好深好深 就知道他被冤枉的多惨, 用时间线的方式还原薛李风波始末 雪下得好深好深, 用时间线的方式还原薛李风波始末, 撤热搜了 只要你看过时间线梳理那个视频 薛之谦, 撤热搜了 只要你看过时间线梳理那个视频","0.1328, 0.1328, 0.1328, 0.1328, 0.1328, 0.1328, 0.1328, 0.1328, 0.1328, 0.1328"
90,replies,17,"不是一路人, 没关系, 离婚冷静期, 大家都一样, 笑死了, 不好意思, 是的, , , ","0.6734, 0.6734, 0.6161, 0.5757, 0.4129, 0.3851, 0.2169, 0.0000, 0.0000, 0.0000"
91,replies,17,"其实最致命的问题是 以公权力禁止或限制堕胎的话 那么那些有堕胎需求的女性就会去寻求找那些地下黑诊所来满足需求, 其实最致命的问题是 以公权力禁止或限制堕胎的话, 以公权力禁止或限制堕胎的话 那么那些有堕胎需求的女性就会去寻求找那些地下黑诊所来满足需求 而这会带来更大的安全隐患, 其实最致命的问题是, 以公权力禁止或限制堕胎的话, 以公权力禁止或限制堕胎的话 那么那些有堕胎需求的女性就会去寻求找那些地下黑诊所来满足需求, 生殖器官永久受损失去生育能力 甚至死亡等等, 而这会带来更大的安全隐患, 生殖器官永久受损失去生育能力, 甚至死亡等等","0.1510, 0.1510, 0.1510, 0.1510, 0.1510, 0.1510, 0.1510, 0.1510, 0.1510, 0.1510"
92,replies,16,"是因为男朋友不想生绝育, 你说的对, 当然, , , , , , , ","1.5713, 1.2704, 0.6633, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000"
93,replies,16,"因为早期女性要避孕就是体内放环 直到今日还是依旧如此, 因为早期女性要避孕就是体内放环 直到今日还是依旧如此 不过这几年开放生育才好点, 直到今日还是依旧如此 不过这几年开放生育才好点, 因为早期女性要避孕就是体内放环, 直到今日还是依旧如此, 不过这几年开放生育才好点, 不过这几年开放生育才好点 因为早期女性要避孕就是体内放环, 不过这几年开放生育才好点 因为早期女性要避孕就是体内放环 直到今日还是依旧如此, 直到今日还是依旧如此 不过这几年开放生育才好点 因为早期女性要避孕就是体内放环, ","0.3296, 0.3296, 0.3296, 0.3296, 0.3296, 0.3296, 0.3122, 0.3122, 0.3122, 0.0000"
94,replies,16,"生下来, 意外怀孕, 不是, , , , , , , ","1.4377, 0.9402, 0.8148, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000"
95,replies,16,"无用 因为这属于民事纠纷, 所以你也别太较真 现实生活中你真当法律维护普通人民, 无用 因为这属于民事纠纷 于情于理夫妻在没离婚之前, 现实生活中你真当法律维护普通人民 我也是用事实说话 夫妻之间寻找对方, 现实生活中你真当法律维护普通人民 我也是用事实说话, 现实生活中你真当法律维护普通人民, 所以你也别太较真 现实生活中你真当法律维护普通人民 我也是用事实说话, 无用, 所以你也别太较真, 我也是用事实说话","0.3771, 0.3771, 0.3771, 0.3771, 0.3771, 0.3771, 0.3771, 0.3771, 0.3771, 0.3771"
96,replies,16,"我不想生但我可以有性生活 意外怀孕我也不想要有问题吗, 意外怀孕我也不想要有问题吗, 我不想生但我可以有性生活, 意外怀孕我也不想要有问题吗 我不想生但我可以有性生活 意外怀孕我也不想要有问题吗, 我不想生但我可以有性生活 意外怀孕我也不想要有问题吗 我不想生但我可以有性生活, 意外怀孕我也不想要有问题吗 我不想生但我可以有性生活, 我和老婆都有了小孩后 几次都是这样子, 我和老婆都有了小孩后, 用排卵试纸测了没有排卵, 用排卵试纸测了没有排卵 可以内射吗 我和老婆都有了小孩后","0.4582, 0.4582, 0.4582, 0.4341, 0.4341, 0.4341, 0.0575, 0.0575, 0.0575, 0.0575"
97,replies,15,"原来如此, , , , , , , , , ","4.3130, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000"
98,replies,15,"我也不想生 怕疼, 我也不想生 怕疼 只想以后养好多好多的猫咪陪着我, 怕疼 只想以后养好多好多的猫咪陪着我, 怕疼, 只想以后养好多好多的猫咪陪着我, 我也不想生, 只想以后养好多好多的猫咪陪着我 我也不想生, 只想以后养好多好多的猫咪陪着我 我也不想生 怕疼, 怕疼 只想以后养好多好多的猫咪陪着我 我也不想生, ","0.3210, 0.3210, 0.3210, 0.3210, 0.3210, 0.3137, 0.3055, 0.3055, 0.3055, 0.0000"
99,replies,15,"不想生的被强迫生下来的当然不会爱, 不想生的被强迫生下来的当然不会爱 不想生的被强迫生下来的当然不会爱, 不想生的被强迫生下来的当然不会爱 不想生的被强迫生下来的当然不会爱 不想生的被强迫生下来的当然不会爱, 宝宝生命力真顽强, 现在也快被离婚了, 我想要都没, 我想要都没 现在也快被离婚了, 我想要都没 现在也快被离婚了 宝宝生命力真顽强, 祝福你 我想要都没, 祝福你 我想要都没 现在也快被离婚了","0.4954, 0.4331, 0.3663, 0.2941, 0.2941, 0.2941, 0.2941, 0.2941, 0.2941, 0.2941"
100,replies,15,"想一想, 毕竟自己女朋友, 没错, 确实, , , , , , ","1.1785, 1.0783, 0.7051, 0.4798, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000"
101,replies,15,"看个人选择自由 提倡婚前是不想让婚前的被歧视吧, 看个人选择自由, 提倡婚前是不想让婚前的被歧视吧, 提倡婚前是不想让婚前的被歧视吧 看个人选择自由, 提倡婚前是不想让婚前的被歧视吧 看个人选择自由 提倡婚前是不想让婚前的被歧视吧, 看个人选择自由 提倡婚前是不想让婚前的被歧视吧 看个人选择自由, , , , ","0.4751, 0.4751, 0.4751, 0.4539, 0.4539, 0.4539, 0.0000, 0.0000, 0.0000, 0.0000"
102,replies,15,"笑死, , , , , , , , , ","2.8205, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000"
